NODE,Si
3855,0.0205
3856,0.0694
3857,0.0148
3858,0.066
3859,0.0206
3860,0.0695
3861,0.0148
3862,0.0657
3863,0.0203
3864,0.0695
3865,0.0147
3866,0.0641
3867,0.0177
3868,0.0682
3869,0.0148
3870,0.0655
3871,0.0174
3872,0.0665
3873,0.0148
3874,0.0655
3875,0.0176
3876,0.0683
3877,0.0148
3878,0.0658
3879,0.0175
3880,0.0683
3881,24.7157
3882,0.0646
3883,0.0192
3884,0.0679
3885,0.0149
3886,0.0653
3887,0.0176
3888,0.0683
3889,0.0148
3890,0.066
3891,0.0175
3892,0.0662
3893,0.0148
3894,0.0662
3895,0.019
3896,0.068
3897,0.0146
3898,0.0646
3899,0.0191
3900,0.0681
3901,0.0148
3902,0.0657
3903,0.0192
3904,0.0686
3905,0.015
3906,0.0659
3907,0.0179
3908,0.0682
3909,0.0148
3910,0.066
3911,0.019
3912,0.0681
3913,0.0147
3914,0.0659
3915,0.0164
3916,0.0096
3917,0.0182
3918,0.0111
3919,0.0146
3920,0.0102
3921,0.0136
3922,0.0082
3924,0.0068
3926,0.0064
3927,0.0095
3928,0.0363
3929,0.0098
3930,0.0364
3931,0.0093
3932,0.036
3933,0.0093
3934,0.0365
3935,0.0096
3936,0.0356
3937,0.0093
3938,0.0364
3939,0.0088
3940,24.7214
3941,0.0093
3942,0.0366
3943,0.0093
3944,0.0358
3945,0.0093
3946,0.0373
3947,0.0093
3948,0.0363
3949,0.0104
3950,0.0363
3951,0.0092
3952,0.036
3953,0.0093
3954,0.0362
3955,0.0088
3956,0.0358
3957,0.0093
3958,0.0382
3959,0.0064
3960,0.0244
3961,0.0073
3962,0.0107
11343,0.0095
11344,0.0129
11345,0.0111
11346,0.0076
11347,0.0071
11348,0.0067
11349,0.0095
11350,0.0137
11351,0.0637
11352,0.0671
11353,0.0816
11354,0.0603
11355,0.0507
11356,0.0415
11357,0.0196
11358,0.0184
11359,0.0215
11360,0.0239
11361,0.0229
11362,0.0203
11363,0.0249
11364,0.0272
11365,0.0253
11366,0.008
11367,0.0072
11368,0.0058
11369,0.0258
11370,0.1006
11371,0.1342
11372,0.2741
11373,0.339
11374,0.4183
11375,0.2096
11376,0.153
11377,0.0953
11378,0.0627
11379,0.0387
11380,0.0375
