NODE ,X [m],Y [m],Z [m]
3516,10.967,2.531,0.104
3517,11.741,2.531,0.115
3518,12.515,2.531,0.125
3519,13.289,2.531,0.136
3520,14.064,2.531,0.146
3521,14.838,2.531,0.157
3522,15.612,2.531,0.166
3523,16.387,2.531,0.175
3524,17.161,2.531,0.185
3525,17.935,2.531,0.194
3526,18.709,2.531,0.204
3527,19.484,2.531,0.213
3528,20.258,2.531,0.222
3529,21.032,2.531,0.230
3530,21.807,2.531,0.238
3531,22.581,2.531,0.247
3532,23.355,2.531,0.255
3533,24.129,2.531,0.263
3534,24.904,2.531,0.272
3535,25.678,2.531,0.279
3536,26.452,2.531,0.286
3538,28.001,2.531,0.301
3540,29.549,2.531,0.316
3541,30.324,2.531,0.322
3542,31.098,2.531,0.328
3543,31.872,2.531,0.334
3544,32.647,2.531,0.341
3545,33.421,2.531,0.347
3546,34.195,2.531,0.354
3547,34.969,2.531,0.359
3548,35.744,2.531,0.364
3549,36.518,2.531,0.370
3550,37.292,2.531,0.375
3551,38.067,2.531,0.380
3552,38.841,2.531,0.385
3553,39.615,2.531,0.391
3554,40.389,2.531,0.395
3555,41.164,2.531,0.399
3556,41.938,2.531,0.403
3557,42.712,2.531,0.407
3558,43.486,2.531,0.411
3559,44.261,2.531,0.416
3560,45.035,2.531,0.419
3561,45.809,2.531,0.422
3562,46.584,2.531,0.425
3563,47.358,2.531,0.428
3564,48.132,2.531,0.431
3565,48.906,2.531,0.435
3566,49.681,2.531,0.438
3567,50.455,2.531,0.440
3568,51.229,2.531,0.442
3569,52.004,2.531,0.444
3570,52.778,2.531,0.446
3571,53.552,2.531,0.448
3572,54.326,2.531,0.451
3573,55.101,2.531,0.452
3574,55.875,2.531,0.453
3575,56.649,2.531,0.454
3576,57.424,2.531,0.455
3577,58.198,2.531,0.455
3578,58.972,2.531,0.456
3579,59.746,2.531,0.457
3580,60.521,2.531,0.458
3581,61.295,2.531,0.458
3582,62.069,2.531,0.458
3583,62.844,2.531,0.458
3584,63.618,2.531,0.457
3585,64.392,2.531,0.458
3586,65.166,2.531,0.456
3587,65.941,2.531,0.455
3588,66.715,2.531,0.454
3589,67.489,2.531,0.453
3590,68.264,2.531,0.452
3591,69.038,2.531,0.451
3592,69.812,2.531,0.450
3593,70.586,2.531,0.448
3594,71.361,2.531,0.445
3595,72.135,2.531,0.443
3596,72.909,2.531,0.441
3597,73.684,2.531,0.439
3598,74.458,2.531,0.437
3599,75.232,2.531,0.434
3600,76.006,2.531,0.431
3601,76.781,2.531,0.427
3602,77.555,2.531,0.424
